t_s,dist_m,epoch_iso,lon,lat,sv,constellation,az,el,range_m,status,block_kind
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,G08,GPS,269.7061332992687,77.92524497101128,20298265.212,LOS,
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,G10,GPS,53.746658707664494,53.278582563729664,21450692.189,NLOS,building
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,G16,GPS,186.7330903209671,12.233493934668152,24807195.588,NLOS,building
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,G23,GPS,45.416429712738534,17.883944251568753,23927921.376,NLOS,building
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,G27,GPS,145.50718618403755,60.17166711883976,20886279.442,NLOS,building
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,G32,GPS,120.61631130897717,29.363291988145114,22994553.655,NLOS,building
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,E13,Galileo,235.57308438807615,12.64107731661034,27528495.29,NLOS,building
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,E15,Galileo,242.5907189586212,65.47467515381982,23679957.793,VEG,vegetation
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,E21,Galileo,318.5889030153188,12.275983507554102,27599391.504,NLOS,building
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,E27,Galileo,288.2490298662407,59.767319466929415,23928971.741,VEG,vegetation
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,E30,Galileo,175.4033215239865,54.27800959975424,24187424.937,LOS,
71,591.667,2026-05-09T10:01:11+00:00,11.329410793867737,44.491715096717414,E34,Galileo,48.05012205887596,57.65865570200848,24024148.172,NLOS,building
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,G01,GPS,271.0630751059814,25.11480776695207,23178525.324,NLOS,building
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,G02,GPS,290.8127955555764,52.71312683786337,21342465.256,VEG,vegetation
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,G08,GPS,269.67180335483,77.92911372553755,20298239.446,LOS,
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,G10,GPS,53.741881183336204,53.271815358734386,21451037.966,LOS,
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,G16,GPS,186.73127844071806,12.22675570536529,24807917.824,NLOS,building
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,G23,GPS,45.41681856900732,17.877323379369308,23928544.688,NLOS,building
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,G27,GPS,145.51106939776673,60.16348035870687,20886690.618,NLOS,building
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,G32,GPS,120.61002534966804,29.36876604783061,22994118.877,NLOS,building
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,E13,Galileo,235.57718346352902,12.64592291592781,27527996.485,NLOS,building
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,E15,Galileo,242.60062804378234,65.48009614945623,23679759.377,VEG,vegetation
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,E21,Galileo,318.58854511634956,12.281118586217021,27598859.196,NLOS,building
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,E27,Galileo,288.2385036144474,59.77058216773771,23928821.969,VEG,vegetation
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,E30,Galileo,175.4035251199416,54.270997908581485,24187799.17,LOS,
72,600.0,2026-05-09T10:01:12+00:00,11.329386727489918,44.49178804721419,E34,Galileo,48.050995360103,57.65278245624314,24024434.329,LOS,
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,G01,GPS,271.068218324209,25.120634544592278,23178004.254,NLOS,building
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,G02,GPS,290.82021325419566,52.71921626636017,21342197.677,LOS,
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,G08,GPS,269.6374488747431,77.93297747951878,20298213.79,LOS,
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,G10,GPS,53.737106972995775,53.265047736962124,21451383.824,LOS,
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,G16,GPS,186.72946643636507,12.220017844506893,24808640.052,NLOS,building
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,G23,GPS,45.41720832666067,17.870702630559617,23929168.03,NLOS,building
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,G27,GPS,145.51495166878703,60.15529368109334,20887101.885,LOS,
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,G32,GPS,120.60373836500281,29.374239643777024,22993684.171,NLOS,building
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,E13,Galileo,235.58128290217778,12.650768474561021,27527497.704,NLOS,building
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,E15,Galileo,242.61054002385106,65.48551675530665,23679561.019,VEG,vegetation
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,E21,Galileo,318.5881864616357,12.286253628655418,27598326.912,NLOS,building
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,E27,Galileo,288.22797411684536,59.77384343122462,23928672.277,LOS,
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,E30,Galileo,175.40372912750706,54.263986252643186,24188173.472,LOS,
73,608.333,2026-05-09T10:01:13+00:00,11.329362661051846,44.49186099770592,E34,Galileo,48.05187001314579,57.64690937429204,24024720.528,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,G01,GPS,271.07336171428165,25.12646143725383,23177483.213,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,G02,GPS,290.82763182490584,52.725305705979764,21341930.148,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,G08,GPS,269.60306986655377,77.93683622783793,20298188.246,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,G10,GPS,53.73233607509849,53.25827969886853,21451729.763,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,G16,GPS,186.72765430777588,12.213280352127256,24809362.274,NLOS,building
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,G23,GPS,45.41759898549424,17.864082005209685,23929791.403,NLOS,building
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,G27,GPS,145.51883299765154,60.14710708606218,20887513.246,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,G32,GPS,120.59745035470416,29.37971277568214,22993249.537,NLOS,building
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,E13,Galileo,235.58538270400882,12.655613992499843,27526998.946,NLOS,building
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,E15,Galileo,242.62045490033194,65.4909369711711,23679362.719,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,E21,Galileo,318.5878270510709,12.291388634790087,27597794.653,NLOS,building
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,E27,Galileo,288.21744137371167,59.77710325678519,23928522.666,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,E30,Galileo,175.40393354629202,54.256974631998226,24188547.842,LOS,
74,616.667,2026-05-09T10:01:14+00:00,11.329338594553633,44.49193394819259,E34,Galileo,48.05274601731486,57.641036456214515,24025006.769,LOS,
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,G01,GPS,271.0785051909325,25.13228856570679,23176962.19,NLOS,building
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,G02,GPS,290.835051274669,52.731395271064315,21341662.66,LOS,
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,G08,GPS,269.568666384963,77.94069010765205,20298162.809,VEG,vegetation
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,G10,GPS,53.727568461424596,53.25151111765025,21452075.791,LOS,
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,G16,GPS,186.7258418978243,12.206543268569217,24810084.485,NLOS,building
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,G23,GPS,45.41799047354374,17.857461400204574,23930414.815,NLOS,building
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,G27,GPS,145.5227130330685,60.13892052267087,20887924.7,LOS,
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,G32,GPS,120.59116114358056,29.385185351865683,22992814.983,NLOS,building
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,E13,Galileo,235.58948274372108,12.660459579139522,27526500.2,NLOS,building
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,E15,Galileo,242.63037249087475,65.49635693166648,23679164.472,LOS,
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,E21,Galileo,318.58746682262534,12.296523659705857,27597262.412,NLOS,building
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,E27,Galileo,288.20690540968724,59.78036176090187,23928373.131,LOS,
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,E30,Galileo,175.4041380661307,54.24996306721609,24188922.28,LOS,
75,625.0,2026-05-09T10:01:15+00:00,11.329314375758145,44.49200687298442,E34,Galileo,48.0536233762229,57.63516358214038,24025293.058,LOS,
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,G01,GPS,271.0836487920895,25.13811587629758,23176441.189,NLOS,building
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,G02,GPS,290.8424716011004,52.73748491072938,21341395.217,VEG,vegetation
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,G08,GPS,269.5342384158721,77.94453905065465,20298137.482,LOS,
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,G10,GPS,53.722804142280836,53.2447420503481,21452421.904,LOS,
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,G16,GPS,186.72402927619697,12.199806575937433,24810806.687,NLOS,building
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,G23,GPS,45.41838282247977,17.85084086148737,23931038.264,NLOS,building
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,G27,GPS,145.52659193216778,60.13073401368083,20888336.248,LOS,
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,G32,GPS,120.584870809096,29.390657412613816,22992380.506,LOS,
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,E13,Galileo,235.59358307699145,12.665305185850833,27526001.472,NLOS,building
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,E15,Galileo,242.64029287880123,65.50177657668277,23678966.281,LOS,
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,E21,Galileo,318.58710580374293,12.30165867880733,27596730.193,NLOS,building
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,E27,Galileo,288.19636621416385,59.78361889095767,23928223.673,LOS,
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,E30,Galileo,175.40434282445813,54.24295154923897,24189296.787,LOS,
76,633.333,2026-05-09T10:01:16+00:00,11.329290072335539,44.49207978350067,E34,Galileo,48.054502087199694,57.62929080544079,24025579.393,LOS,
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,G01,GPS,271.0887925651199,25.143943301971323,23175920.217,VEG,vegetation
77,641.667,2026-05-09T10:01:17+00:00,11.329265768852224,44.49215269401178,G02,GPS,290.8498928010006,52.74357456141221,21341127.822,LOS,
