window_kind,window_start_time_utc,window_score,epoch_iso,t_s,dist_m,lon,lat,visible_total,los_total,nlos_obstacles,vegetation_degraded,gnss_denied_tunnel_or_covered,pdop_present,pdop_los_total,pdop_los_gps,pdop_los_galileo,svi_total,svi_gps,svi_galileo
worst,16:15:00,70.45454545454545,2026-05-09T16:16:10+00:00,70,583.333,11.329434860185415,44.49164214621558,13,5,8,0,0,1.452993546926534,10.249217716726104,,,0.38461538461538464,0.5,0.2857142857142857
worst,16:15:00,70.45454545454545,2026-05-09T16:16:17+00:00,77,641.667,11.329265768852224,44.49215269401178,13,9,3,1,0,1.4532941076245132,2.2848728003966454,2.6098597197297004,,0.6923076923076923,1.0,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:16:24+00:00,84,700.0,11.329110381285318,44.492665395755246,13,10,2,1,0,1.4535941967407,2.041950760042313,2.7390183530962915,6.611059478227845,0.7692307692307693,0.8333333333333334,0.7142857142857143
worst,16:15:00,70.45454545454545,2026-05-09T16:16:31+00:00,91,758.333,11.328941351325511,44.493175946057484,13,8,5,0,0,1.4538938006475663,2.848667518055485,3.405197158825895,,0.6153846153846154,0.8333333333333334,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:16:38+00:00,98,816.667,11.3287864080703,44.493688773456554,13,6,6,1,0,1.454192915090653,6.613494779853525,,,0.46153846153846156,0.5,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:16:45+00:00,105,875.0,11.328628332587073,44.49420111515704,13,7,4,2,0,1.454491528205333,6.650973580242269,58.81083950213168,,0.5384615384615384,0.6666666666666666,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:16:52+00:00,112,933.333,11.328463481991434,44.494712347543334,13,8,5,0,0,1.4547896304709877,2.5738508819924917,3.0744941736104217,,0.6153846153846154,0.8333333333333334,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:16:59+00:00,119,991.667,11.32830975284287,44.49522535653433,13,9,3,1,0,1.4550872156661527,1.7934254783171302,7.247364229700054,3.1795178211377606,0.6923076923076923,0.6666666666666666,0.7142857142857143
worst,16:15:00,70.45454545454545,2026-05-09T16:17:06+00:00,126,1050.0,11.328149815400593,44.495737377186124,13,7,5,1,0,1.4553842720362407,3.6160044446668573,,7.008227577113425,0.5384615384615384,0.5,0.5714285714285714
worst,16:15:00,70.45454545454545,2026-05-09T16:17:13+00:00,133,1108.333,11.32797477249244,44.49624690132063,13,8,5,0,0,1.4556807892917067,2.7427404664417,3.431413017140487,,0.6153846153846154,0.8333333333333334,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:17:20+00:00,140,1166.667,11.32780883880821,44.49675797855403,13,7,5,1,0,1.4559767618900408,3.6200810313782266,,7.071461686485841,0.5384615384615384,0.5,0.5714285714285714
worst,16:15:00,70.45454545454545,2026-05-09T16:17:27+00:00,147,1225.0,11.32764229572524,44.497268832739266,13,5,5,3,0,1.456272179295785,14.783693929456268,,,0.38461538461538464,0.3333333333333333,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:17:34+00:00,154,1283.333,11.327461834235578,44.497777167425866,13,9,3,1,0,1.4565670305957943,2.287422976989391,3.444750052349441,4.112969732776874,0.6923076923076923,0.8333333333333334,0.5714285714285714
worst,16:15:00,70.45454545454545,2026-05-09T16:17:41+00:00,161,1341.667,11.327298370243057,44.49828865012936,13,6,5,2,0,1.4568613106640322,3.664319481042628,,7.169231994112156,0.46153846153846156,0.3333333333333333,0.5714285714285714
worst,16:15:00,70.45454545454545,2026-05-09T16:17:48+00:00,168,1400.0,11.327147864789367,44.49880211592365,13,9,3,1,0,1.4571550096801746,3.4472807777328254,55.697195377663306,6.5960909673341686,0.6923076923076923,0.6666666666666666,0.7142857142857143
worst,16:15:00,70.45454545454545,2026-05-09T16:17:55+00:00,175,1458.333,11.326941278450022,44.499301030832385,13,12,1,0,0,1.4574481107575525,1.5849748185915382,3.4582386651794184,1.9538694313438185,0.9230769230769231,0.8333333333333334,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:18:02+00:00,182,1516.667,11.326663438956757,44.499676369089215,13,8,5,0,0,1.4577406231885237,3.4482842132582956,4.7824700681450425,10.353261910696459,0.6153846153846154,0.6666666666666666,0.5714285714285714
worst,16:15:00,70.45454545454545,2026-05-09T16:18:09+00:00,189,1575.0,11.326950045107083,44.500159505118084,13,8,5,0,0,1.4580325882361707,2.2887453951815258,8.473785124483495,3.9152437677850402,0.6153846153846154,0.6666666666666666,0.5714285714285714
worst,16:15:00,70.45454545454545,2026-05-09T16:18:16+00:00,196,1633.333,11.327171574269187,44.500659464003306,13,6,5,2,0,1.4583239178178564,6.85996574603719,,,0.46153846153846156,0.5,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:18:23+00:00,203,1691.667,11.327367387839786,44.50116497842768,13,4,4,5,0,1.4586146108185603,17.354696833385205,,,0.3076923076923077,0.3333333333333333,0.2857142857142857
worst,16:15:00,70.45454545454545,2026-05-09T16:18:30+00:00,210,1750.0,11.327531435611945,44.50167621338287,13,4,4,5,0,1.4589046572925408,585.6688646116557,,,0.3076923076923077,0.3333333333333333,0.2857142857142857
worst,16:15:00,70.45454545454545,2026-05-09T16:18:37+00:00,217,1808.333,11.3276958281715,44.50218748458451,14,10,2,2,0,1.298279765127599,2.465179629608577,6.852707862511854,3.121565516822238,0.7142857142857143,0.7142857142857143,0.7142857142857143
worst,16:15:00,70.45454545454545,2026-05-09T16:18:44+00:00,224,1866.667,11.327863242157832,44.502698318883226,14,8,4,2,0,1.2985511812676938,2.6642648940001785,3.5853529364878702,,0.5714285714285714,0.7142857142857143,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:18:51+00:00,231,1925.0,11.328034362073367,44.50320851274879,14,9,4,1,0,1.298823127881611,2.36857993624859,3.5855095872063054,27.10661199118802,0.6428571428571429,0.7142857142857143,0.5714285714285714
worst,16:15:00,70.45454545454545,2026-05-09T16:18:58+00:00,238,1983.333,11.328196724964755,44.50372017499382,14,8,6,0,0,1.299095600531659,3.6344683532732014,4.209603374434936,,0.5714285714285714,0.7142857142857143,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:19:05+00:00,245,2041.667,11.32836051702077,44.50423155110836,14,13,0,1,0,1.2993685970265483,1.449942746073528,2.1083541348137986,2.441366226778671,0.9285714285714286,1.0,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:19:12+00:00,252,2100.0,11.328939999999989,44.50418375688681,15,9,2,4,0,1.198838954774869,2.700815876887777,8.162812874256387,3.3546631838663563,0.6,0.5,0.7142857142857143
worst,16:15:00,70.45454545454545,2026-05-09T16:19:19+00:00,259,2158.333,11.328990103698288,44.50468536305035,15,7,5,3,0,1.199032907895037,3.0287192114987698,3.51370250420792,,0.4666666666666667,0.625,0.2857142857142857
worst,16:15:00,70.45454545454545,2026-05-09T16:19:26+00:00,266,2216.667,11.329141960088009,44.505198664416085,15,6,4,5,0,1.199227674872743,10.623236626015478,16.491174881101575,,0.4,0.5,0.2857142857142857
worst,16:15:00,70.45454545454545,2026-05-09T16:19:33+00:00,273,2275.0,11.329289323151897,44.505712631882815,15,7,2,6,0,1.1994232138492384,10.67557351253608,22.914280869282585,,0.4666666666666667,0.5,0.42857142857142855
worst,16:15:00,70.45454545454545,2026-05-09T16:19:40+00:00,280,2333.333,11.329712076205055,44.50610238443248,15,11,4,0,0,1.1996196021212298,2.01801313573753,2.6331347845822117,6.569403367282531,0.7333333333333333,0.75,0.7142857142857143
worst,16:15:00,70.45454545454545,2026-05-09T16:19:47+00:00,287,2391.667,11.330424674527308,44.506151086932476,15,12,3,0,0,1.1998168076153413,1.6289501896222296,2.3538765799899153,3.0546778372971146,0.8,0.75,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:19:54+00:00,294,2450.0,11.33109970114947,44.50605000000001,15,12,3,0,0,1.200014742084548,1.7243107250572174,2.634464085624276,3.0535899396918427,0.8,0.75,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:20:01+00:00,301,2508.333,11.330925146916684,44.50632915458499,15,14,1,0,0,1.2002132045019263,1.3258906985757204,1.9401503796530373,1.955643836062651,0.9333333333333333,0.875,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:20:08+00:00,308,2566.667,11.33055866717666,44.50677300879452,15,11,4,0,0,1.2004123909086695,1.9029195416581905,3.547135718763681,2.438204821760598,0.7333333333333333,0.625,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:20:15+00:00,315,2625.0,11.33028181380405,44.50725903916923,15,14,1,0,0,1.2006123777056452,1.3263688356960832,1.9409248549281521,1.9558497889091662,0.9333333333333333,0.875,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:20:22+00:00,322,2683.333,11.330009264072828,44.50774628867078,15,0,15,0,1,1.2008131268651248,,,,0.0,0.0,0.0
worst,16:15:00,70.45454545454545,2026-05-09T16:20:29+00:00,329,2741.667,11.329737102998365,44.508233331034084,15,13,2,0,0,1.2010146346170716,1.4696072246362706,2.560625252618142,1.9560576975100032,0.8666666666666667,0.75,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:20:36+00:00,336,2800.0,11.329450744440123,44.508716454372454,15,14,1,0,0,1.2012168932566747,1.3029627932823684,2.1200307604928246,1.956162357910971,0.9333333333333333,0.875,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:20:43+00:00,343,2858.333,11.329232466654048,44.5092150671168,15,14,1,0,0,1.201419931037541,1.3268053218849472,1.6773441861483651,2.4364863595649906,0.9333333333333333,1.0,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:20:50+00:00,350,2916.667,11.328972526244456,44.509705336184396,15,14,1,0,0,1.201623705185272,1.2922414468536843,2.1177890618046096,1.956373155982908,0.9333333333333333,0.875,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:20:57+00:00,357,2975.0,11.328688012249472,44.510184472445495,15,13,2,0,0,1.2018282188201164,1.3849133994362754,2.511632753387375,1.956479242713449,0.8666666666666667,0.75,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:21:04+00:00,364,3033.333,11.328520664333269,44.51069486583397,15,13,1,1,0,1.2020335226433776,1.540421127705415,2.117679950300789,2.43546972416464,0.8666666666666667,0.875,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:21:11+00:00,371,3091.667,11.328282702804245,44.51118729742273,15,13,2,0,0,1.2022395448740621,1.4653772410325225,2.6410941202047327,1.9566929240848192,0.8666666666666667,0.75,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:21:18+00:00,378,3150.0,11.32786564648677,44.51161928183804,15,15,0,0,0,1.2024462419313282,1.2024462419313282,1.6785629038279417,1.9568003632597346,1.0,1.0,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:21:25+00:00,385,3208.333,11.327596116895506,44.51209776621527,15,14,1,0,0,1.202653733775984,1.3287535133358401,1.944721092574272,1.9569083511671321,0.9333333333333333,0.875,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:21:32+00:00,392,3266.667,11.32738193949001,44.512599539335866,15,15,0,0,0,1.2028619840055448,1.2028619840055448,1.6790602908395662,1.9570168371228531,1.0,1.0,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:21:39+00:00,399,3325.0,11.327311731399732,44.51311605990581,15,15,0,0,0,1.2030710164267564,1.2030710164267564,1.6793113083131204,1.9571258770620625,1.0,1.0,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:21:46+00:00,406,3383.333,11.327409323609686,44.51353033819527,15,14,1,0,0,1.2032808168825304,1.294745755280144,2.1175208730179715,1.9572355213814618,0.9333333333333333,0.875,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:21:53+00:00,413,3441.667,11.326863967366194,44.51378028394168,15,12,1,2,0,1.2034911191300957,1.7274240386741468,2.644220527733154,3.0339611196213165,0.8,0.75,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:22:00+00:00,420,3500.0,11.326573180906166,44.51425909214485,15,14,1,0,0,1.2037022636874593,1.2953847587375444,2.1175225630437224,1.9574556246368247,0.9333333333333333,0.875,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:22:07+00:00,427,3558.333,11.326191252138642,44.51470640439877,15,14,0,1,0,1.203914099533264,1.295706240053583,2.1175341790913023,1.9575663764653835,0.9333333333333333,0.875,1.0
worst,16:15:00,70.45454545454545,2026-05-09T16:22:14+00:00,434,3616.667,11.325699744491544,44.5150963701053,15,10,5,0,0,1.2041266149249579,2.2967202108965576,4.001974647509367,3.1508775652503647,0.6666666666666666,0.625,0.7142857142857143
worst,16:15:00,70.45454545454545,2026-05-09T16:22:21+00:00,441,3675.0,11.325283447252446,44.51551982913669,15,12,3,0,0,1.2043398779388295,1.7327385421029613,2.591608883202573,2.4318331689220276,0.8,0.75,0.8571428571428571
worst,16:15:00,70.45454545454545,2026-05-09T16:22:28+00:00,448,3733.333,11.325050884927464,44.51601569943714,15,12,3,0,0,1.2045539239792482,1.4622668743816667,1.7930793202801696,3.14971771342361,0.8,0.875,0.7142857142857143
